file "01.png" 	00:00.000	02:02.720
file "02.png" 	02:02.720	03:34.420	
file "03.png" 	03:34.420	04:05.340
file "04.png" 	04:05.340	04:43.380
file "05.png" 	04:43.380	06:44.380
file "06.png" 	06:44.380	08:42.920
file "07.png" 	08:42.920	09:10.920
file "08.png" 	09:10.920	11:03.600
file "09.png" 	11:03.600	12:35.920
file "10.png" 	12:35.920	14:45.640
file "img-11.png"	14:45.640	15:44.900
file "img-12.png	15:44.900	16:20.460
file "11.png" 	16:20.460	18:08.260
file "12.png" 	18:08.260	18:56.820
file "13.png" 	18:56.820	19:24.120
file "14.png" 	19:24.120	19:40.480


