# Podcast Script: 宣传的逻辑

Speaker 1: 歡迎來到政治的邏輯。

Speaker 1: 今天我們來聊一個可能大家既熟悉又陌生的話題,就是中國的宣傳。

Speaker 1: 一說宣傳,很多人可能還停留在那種比較刻板的印象裡,覺得就是廣播報紙上的大道理。

Speaker 2: 對,那種比較傳統的灌輸模式。

Speaker 1: 是的。

Speaker 1: 但我們今天拿到的這幾份研究報告,他們揭示的圖景,可以說完全顛覆了這種傳統認知。

Speaker 1: 他描繪了一個非常複雜,而且不斷在演變的系統。

Speaker 2: 沒錯,這些研究確實很有深度,他們不僅看了這個體系的結構是怎麼變的,還分析了他具體通過哪些機制來影響人,甚至深入到了心理層面的一些東西。

Speaker 1: 對,心理層面,這個我們後面會詳細聊。

Speaker 1: 所以今天我們就想帶著大家一起把這些研究梳理一下,看看當代中國的宣傳機器它到底是怎麼運轉的,有哪些值得注意的新變化和新特點。

Speaker 2: 好啊。
---

Speaker 1: 那我們先從最宏觀的結構開始吧。

Speaker 1: 就像剛才說的,以前比如廣播電視時代,信息源相對單一,控制起來比較容易。

Speaker 2: 對,集中控制,上面說什麼,下面就听什麼,渠道很有限嘛。

Speaker 1: 但是現在完全不同了。

Speaker 1: 互聯網,特別是移動互聯網普及之後,信息簡直是爆炸式的增長,人人都有手機,人人都能發生,受眾也分散在各種各樣的平台上。

Speaker 2: 嗯,信息環境完全變了。

Speaker 1: 這種情況下,過去那種自上而下統一發布信息的模式,效果肯定大大折扣。

Speaker 2: 是的。

Speaker 1: 所以研究就指出來,這個宣傳體系它必須得適應。

Speaker 1: 有一项研究,他就明確提出了一個概念,叫去中心化宣傳模式。

Speaker 2: 對,這個提法很重要。

Speaker 2: 他不是說沒有中心了,而是說運作方式,就是那個信息的生產和傳播方式變得非常不一樣了。

Speaker 1: 怎麼個不一樣法呢?研究裡好像提到了社交媒體平台的例子。

Speaker 2: 沒錯,典型的就是像抖音這樣的短視頻平台。

Speaker 2: 這項研究做的很細,他們通過各種方法識別了超過,你注意這個數字,超過1.8萬個跟政府機構有關聯的賬號。

Speaker 1: 18000個,這麼多。

Speaker 2: 對,而且這些賬號在一年時間裡發布了超過500萬條視頻,你想想這個規模。

Speaker 1: 難想像。

Speaker 1: 這500萬條視頻都是些什麼內容,都是官方通告嗎?

Speaker 2: 這就是關鍵了,他遠不只是比如說某某部委,某某官媒的官方賬號。

Speaker 2: 大量賬號其實來自非常基層的非傳統的宣傳部門。

Speaker 1: 比如呢?

Speaker 2: 比如說各地的消防隊、公安局,甚至還有街道辦、社區、戒毒所,

Speaker 2: 各種各樣的政府和準政府機構都成了內容生產者。

Speaker 1: 哇,這就解釋了為什麼叫去中心化了。

Speaker 1: 等於說宣傳任務不再僅僅是宣傳部的職責,而是分散到了各個職能部門。

Speaker 2: 正是如此。

Speaker 2: 這就帶來幾個很顯著的特點。

Speaker 2: 第一個就是創作門檻大大降低了,很多內容可能就是基層工作人員用手機拍的,不一定需要非常專業的設備和技巧。

Speaker 1: 嗯,這樣內容生產量才能那麼大。

Speaker 2: 對。
----

Speaker 2: 第二個特點是信息流動不再是單向的,從上到下,它變成多向的了。

Speaker 2: 地方賬號發的東西如果質量好,受歡迎,可能會被中央級的媒體或者平台轉發,甚至有時候地方原創的內容比中央統一發布的內容更受歡迎。

Speaker 1: 這個有意思。

Speaker 1: 也就是說地方的創意,或者說更接地氣的內容,有了向上傳播的可能。

Speaker 2: 是的。

Speaker 2: 第三個特點就是效果評估,或者說監控變得非常直接和便捷,點贊數、評論數、轉發量、觀看量,這些數據都是公開的一目了然。

Speaker 2: 哪個內容受歡迎,哪個主題反響好,哪個賬號表現突出,後台看得清清楚楚。

Speaker 1: 嗯。

Speaker 1: 低門檻創作,多向信息流,加上便捷的效果追踪,這幾個特點加起來確實構成了一個跟以前很不一樣的運作模式。

Speaker 2: 而且這種模式,它有一個很重要的效果,就是模糊了官方信息和所謂民間自發內容的界限。

Speaker 2: 很多時候你刷到一個視頻,可能是一個消防員救人的感人瞬間,或者一個民警幫扶群眾的小故事,你可能不會立刻意識到這背後也是國家宣傳體系的一部分。

Speaker 1: 對,它可能看起來更像是生活記錄或者社會新聞。

Speaker 1: 這種軟性的滲透,可能比硬邦邦的口號效果更好。

Speaker 2: 是的,他讓國家的意志和聲音能夠以一種更柔和,更細微,也可能更無處不在的方式融入到日常信息流當中。

Speaker 1: 好,這個結構上的變化我們大致了解了。

Speaker 1: 它變得更像一個網絡,節點眾多,互動頻繁。

Speaker 1: 那麼接下來一個更關鍵的問題是,這種結構下產生的海量內容,他們究竟是怎麼影響人們的看法和行為的?

Speaker 1: 研究裡有沒有揭示一些核心的作用機制?

Speaker 2: 嗯,

Speaker 2: 這個是研究的重點。

Speaker 2: 至少有兩套非常重要的機制被深入探討了。

Speaker 2: 我們先說第一個,叫做框架效應。

Speaker 1: 框架效應, framing effect。

Speaker 1: 這個在傳播學裡好像經常提到。

Speaker 2: 對,就是那個概念。

Speaker 2: 但這份研究把它應用到中國的宣傳實踐上,得出了很有意思的結論。

Speaker 2: 它的核心觀點是,宣傳很多時候可能不是直接告訴你這件事是好的,或者那件事是壞的,不是直接改變你的價值判斷。

Speaker 1: 那是改變什麼呢?

Speaker 2: 他是改變你看待這件事的角度。

Speaker 2: 就是說一件事往往有很多不同的層面或者屬性,對吧?

Speaker 2: 宣傳可以通過有選擇的強調某些層面,淡化另一些層面,來引導你看問題的方向。

Speaker 2: 他調整的是不同屬性在你心裡的那個顯著性權重。

Speaker 1: 能不能舉個例子,這樣更清楚一點?

Speaker 2: 好的,比如研究裡提到的國旗改革。

Speaker 2: 國旗改革這個議題就很複雜,對吧?

Speaker 2: 你可以從提高市場效率,激發經濟活力,這個角度去看,這是一種框架。

Speaker 1: 強調效率和競爭。

Speaker 2: 對,但你也可以從另一個角度,比如保障公共利益,維護社會公平,承擔社會責任這個角度去看,這又是另一種框架。

Speaker 1: 嗯,強調他的社會功能和公平性。

Speaker 2: 是的。

Speaker 2: 研究就發現,官方媒體可以通過調整他們在報導中使用的框架,是更多的討論效率,還是更多的討論公共利益,來顯著的影響受眾對國旗改革的立場。

Speaker 1: 也就是說,通過選擇不同的聚光燈,就能引導大家往特定的方向思考。

Speaker 2: 可以這麼理解。

Speaker 2: 而且更有趣的是,研究發現這種框架效應的影響跟個人本來的一些傾向,比如你本身是更信奉市場,還是更看重國家調控,關係似乎不是特別大。

Speaker 1: 哦,這點意外。

Speaker 1: 難道不是說觀點接近的人更容易被說服嗎?

Speaker 2: 按理說是這樣。

Speaker 2: 但這個研究發現框架的力量在於它不是直接挑戰你原有的信念,而是繞開他告訴你,這個問題你還可以從這個角度看,這個角度很重要。

Speaker 2: 甚至研究還發現一個現象就是政治知識水平比較高的人,有時候反而更容易受到框架效應的影響。

Speaker 1: 這就更奇怪了。

Speaker 1: 知識越多不是應該越有辨別力嗎?

Speaker 2: 研究者的解釋是,政治知識豐富的人,他們更能理解和吸收這些相對複雜抽象的框架信息,他們能蓋得到那個框架的點。

Speaker 2: 反而知識較少的人,可能對這些抽象的框架不太敏感。

Speaker 1: 嗯,有道理。

Speaker 1: 他們更能理解遊戲規則,所以也更容易被規則引導。

Speaker 1: 這個框架效應確實是一種很巧妙的影響方式。

Speaker 1: 那除了框架,還有沒有提到其他的核心機制?

Speaker 2: 有。

Speaker 2: 第二個重要的機制,研究者稱為信號理論,這個理論主要用來解釋那些看起來特別硬,甚至有點說教式的宣傳。

Speaker 1: 啊,就是我們有時候會看到的那種,比如長篇的政策解讀,或者大規模的口號式的宣傳活動。

Speaker 2: 對,就是這類。

Speaker 2: 我們通常會覺得這種宣傳效果肯定不好,甚至會引起反感,誰會真的去相信那些話呢?

Speaker 1: 對呀,感覺有點自說自話。

Speaker 2: 但是信號理論提供了一個不同的視角。

Speaker 2: 他認為這類硬宣傳的主要目的可能根本就不是為了說服你,不是為了讓你真心相信宣傳的內容本身有多麼正確。

Speaker 1: 那是為了什麼?

Speaker 2: 他的目的可能更多的是在於展示。

Speaker 2: 展示國家有能力組織這樣大規模統一口徑的活動。

Speaker 2: 展示國家在看著,在掌控局面。

Speaker 2: 他傳遞的是一種關於國家能力和決心的信號。

Speaker 1: 你的意思是宣傳活動這個行為本身比宣傳的內容更重要,他本身就是一種力量的宣誓。

Speaker 2: 非常準確。

Speaker 2: 你想想,要搞一次全國性的主題統離的宣傳運動,需要動員多少資源,

Speaker 2: 需要多麼強的組織協調能力。

Speaker 2: 這個過程本身就在向社會傳遞一個非常強烈的信號,國家有這個實力,有這個意願來維持秩序和推行他的議程。

Speaker 1: 嗯,這是一種成本很昂的信號,不是誰都能發出來的。

Speaker 2: 正式。

Speaker 2: 所以這種信號具有可信度。

Speaker 2: 一項針對大學生的研究就發現,那些接觸這類硬宣傳比較多的學生,他們對政府的具體政策或者表現滿意度不一定更高。

Speaker 2: 但是他們更傾向於相信政府有能力維持社會秩序和穩定。

Speaker 1: 哦,影響的是對能力的判斷,而不是滿意度本身。

Speaker 2: 對。

Speaker 2: 而且更關鍵的是,相信政府有能力維持秩序的學生,他們個人表達不同意見或者參與抗議的可能性也更低。

Speaker 1: 這就有意思了。

